data_arquivo,data_dado,posto,ena
2020-09-11,2020-08-12,1.0,8.539215063983999
2020-09-11,2020-08-13,1.0,8.55313811325407
2020-09-11,2020-08-14,1.0,8.596457543546109
2020-09-11,2020-08-15,1.0,8.582009098348593
2020-09-11,2020-08-16,1.0,8.615618077003774
2020-09-11,2020-08-17,1.0,8.617001775861146
2020-09-11,2020-08-18,1.0,8.630208768134612
2020-09-11,2020-08-19,1.0,8.73018932167586
2020-09-11,2020-08-20,1.0,8.743699971054621
2020-09-11,2020-08-21,1.0,8.615883168904114
2020-09-11,2020-08-22,1.0,8.768761683090547
2020-09-11,2020-08-23,1.0,9.43975455195525
2020-09-11,2020-08-24,1.0,9.853404791024262
2020-09-11,2020-08-25,1.0,9.856780698654166
2020-09-11,2020-08-26,1.0,9.480150827595102
2020-09-11,2020-08-27,1.0,9.131037657776163
2020-09-11,2020-08-28,1.0,8.899763978952839
2020-09-11,2020-08-29,1.0,8.730397615403318
2020-09-11,2020-08-30,1.0,8.507927509531138
2020-09-11,2020-08-31,1.0,8.337375458234286
2020-09-11,2020-09-01,1.0,8.121866269840268
2020-09-11,2020-09-02,1.0,7.9221436190980805
2020-09-11,2020-09-03,1.0,7.730571930979277
2020-09-11,2020-09-04,1.0,7.6960697143445245
2020-09-11,2020-09-05,1.0,7.594239106909543
2020-09-11,2020-09-06,1.0,7.48670502990266
2020-09-11,2020-09-07,1.0,7.453032859485723
2020-09-11,2020-09-08,1.0,7.329191387221713
2020-09-11,2020-09-09,1.0,7.28453822451528
2020-09-11,2020-09-10,1.0,7.171582616599616
2020-09-11,2020-08-12,2.0,10.250472055816877
2020-09-11,2020-08-13,2.0,10.267185281377447
2020-09-11,2020-08-14,2.0,10.319185916840453
2020-09-11,2020-08-15,2.0,10.301842006113603
2020-09-11,2020-08-16,2.0,10.342186217372845
2020-09-11,2020-08-17,2.0,10.343847209204633
2020-09-11,2020-08-18,2.0,10.359700880089628
2020-09-11,2020-08-19,2.0,10.47971751657442
2020-09-11,2020-08-20,2.0,10.495935697387903
2020-09-11,2020-08-21,2.0,10.34250443363702
2020-09-11,2020-08-22,2.0,10.526019771505997
2020-09-11,2020-08-23,2.0,11.331479477159677
2020-09-11,2020-08-24,2.0,11.828025141449412
2020-09-11,2020-08-25,2.0,11.832077580293507
2020-09-11,2020-08-26,2.0,11.379971158362535
2020-09-11,2020-08-27,2.0,10.960895779099625
2020-09-11,2020-08-28,2.0,10.683274901271721
2020-09-11,2020-08-29,2.0,10.479967552323222
2020-09-11,2020-08-30,2.0,10.212914481706044
2020-09-11,2020-08-31,2.0,10.008183833422665
2020-09-11,2020-09-01,2.0,9.749486646754788
2020-09-11,2020-09-02,2.0,9.50973961672843
2020-09-11,2020-09-03,2.0,9.279777000605812
2020-09-11,2020-09-04,2.0,9.238360546654445
2020-09-11,2020-09-05,2.0,9.116123105845436
2020-09-11,2020-09-06,2.0,8.987039221302444
2020-09-11,2020-09-07,2.0,8.946619154665019
2020-09-11,2020-09-08,2.0,8.79795987611522
2020-09-11,2020-09-09,2.0,8.744358228528588
2020-09-11,2020-09-10,2.0,8.608766339366454
2020-09-11,2020-08-12,6.0,187.21172412772597
2020-09-11,2020-08-13,6.0,185.54213842748345
2020-09-11,2020-08-14,6.0,184.0735682653069
2020-09-11,2020-08-15,6.0,184.3436569412934
2020-09-11,2020-08-16,6.0,183.99212975063529
2020-09-11,2020-08-17,6.0,183.28835992746326
2020-09-11,2020-08-18,6.0,182.50420656883568
2020-09-11,2020-08-19,6.0,182.55817620451958
2020-09-11,2020-08-20,6.0,185.6024245721736
2020-09-11,2020-08-21,6.0,191.6041161569481
2020-09-11,2020-08-22,6.0,199.0449155140756
2020-09-11,2020-08-23,6.0,205.21108170680733
2020-09-11,2020-08-24,6.0,211.50323534494282
2020-09-11,2020-08-25,6.0,214.9282719200279
2020-09-11,2020-08-26,6.0,217.41962526685
2020-09-11,2020-08-27,6.0,212.80519115516927
2020-09-11,2020-08-28,6.0,205.7725993086332
2020-09-11,2020-08-29,6.0,198.48821675458626
2020-09-11,2020-08-30,6.0,190.8942927751544
2020-09-11,2020-08-31,6.0,187.00022343586338
2020-09-11,2020-09-01,6.0,183.70843782447727
2020-09-11,2020-09-02,6.0,180.51509772665662
2020-09-11,2020-09-03,6.0,176.7237942583028
2020-09-11,2020-09-04,6.0,171.12420754150818
2020-09-11,2020-09-05,6.0,167.87102544136212
2020-09-11,2020-09-06,6.0,165.46412581416772
2020-09-11,2020-09-07,6.0,163.4213017827918
2020-09-11,2020-09-08,6.0,160.3242894179087
2020-09-11,2020-09-09,6.0,156.08500512125863
2020-09-11,2020-09-10,6.0,151.81222527439758
2020-09-11,2020-08-12,7.0,100.28523540065359
2020-09-11,2020-08-13,7.0,99.2494749817227
2020-09-11,2020-08-14,7.0,98.43582571563734
2020-09-11,2020-08-15,7.0,97.74628457561657
2020-09-11,2020-08-16,7.0,97.79754982263964
2020-09-11,2020-08-17,7.0,97.17825345165001
2020-09-11,2020-08-18,7.0,96.61978334816038
2020-09-11,2020-08-19,7.0,96.19748121319188
2020-09-11,2020-08-20,7.0,96.22742131126294
2020-09-11,2020-08-21,7.0,97.87601572365452
2020-09-11,2020-08-22,7.0,100.551901664251
2020-09-11,2020-08-23,7.0,104.66824164571585
2020-09-11,2020-08-24,7.0,107.22618629112944
2020-09-11,2020-08-25,7.0,109.5690230203553
2020-09-11,2020-08-26,7.0,111.39015348568664
2020-09-11,2020-08-27,7.0,111.99870147450454
2020-09-11,2020-08-28,7.0,109.61966371451565
2020-09-11,2020-08-29,7.0,106.25322290900444
2020-09-11,2020-08-30,7.0,102.73130010661257
2020-09-11,2020-08-31,7.0,98.76964592346954
2020-09-11,2020-09-01,7.0,96.7733729906019
2020-09-11,2020-09-02,7.0,95.20832719971148
2020-09-11,2020-09-03,7.0,93.72331770143022
2020-09-11,2020-09-04,7.0,92.00921681949852
2020-09-11,2020-09-05,7.0,89.49696090019516
2020-09-11,2020-09-06,7.0,87.95719481481196
2020-09-11,2020-09-07,7.0,86.75646675323902
2020-09-11,2020-09-08,7.0,85.25640487145594
2020-09-11,2020-09-09,7.0,83.29338048618202
2020-09-11,2020-09-10,7.0,81.02482110461891
2020-09-11,2020-08-12,8.0,154.26156560239684
2020-09-11,2020-08-13,8.0,152.75910944529932
2020-09-11,2020-08-14,8.0,151.4339934384632
2020-09-11,2020-08-15,8.0,150.3369509746581
2020-09-11,2020-08-16,8.0,150.07199899246575
2020-09-11,2020-08-17,8.0,149.2876446356427
2020-09-11,2020-08-18,8.0,148.3506221771475
