posto,2019-10-05,2019-10-06,2019-10-07,2019-10-08,2019-10-09,2019-10-10,2019-10-11,2019-10-12,2019-10-13,2019-10-14,2019-10-15,2019-10-16,2019-10-17,2019-10-18,2019-10-19,2019-10-20,2019-10-21,2019-10-22,2019-10-23,2019-10-24,2019-10-25,2019-10-26,2019-10-27,2019-10-28,2019-10-29,2019-10-30,2019-10-31,2019-11-01,2019-11-02,2019-11-03
1,33.663404357043476,32.84371808937892,32.94048672997872,38.73375509248321,52.92605539420385,59.68447599420701,53.0056934612018,50.38394074276731,45.228366385882524,40.019958925386334,37.371413169281986,36.23148877686023,36.08521631032541,36.060379981139214,35.961898418359866,35.658780801390606,35.359965085578445,34.75632521945191,34.216754120933835,33.633781922728446,32.803812558929835,35.04880305408838,37.621017230452075,35.94597474001357,36.86317574555042,37.13809446157452,42.48910278327097,49.111555253919775,48.73283164317579,46.24835961944727
211,74.43186672994011,71.30356506766918,69.23231728492726,71.56504880197721,90.26405566984869,110.99108898352226,121.96139336406875,116.21070839559553,106.69495675484738,94.29240653297823,85.71157068606023,80.27357890305026,75.6196471921007,73.28020525448616,71.81397264369323,71.9829195522235,72.72083157075936,72.70619798565046,72.5060171469515,72.50415407717071,71.3916540660473,72.7334871616726,75.7667266551043,79.08540595079714,79.8902359564513,85.13531092026331,93.93821005104101,101.25339600151975,110.4484187587019,116.47683803840783
6,185.99789158470122,175.0516660790301,167.43498696383324,163.2005785639115,164.05940173781326,183.17419165832462,235.47085284614963,295.8119696977644,298.51952713594966,260.9518284046774,223.2955382329217,194.85522970774448,177.39332283641266,164.87034780254749,155.94925966362072,150.2286852928671,147.9138844431452,147.3609077327182,147.8803321975948,148.48993042249157,150.0049886483555,152.06275641947394,155.8224456608291,160.6275689949162,163.50184352449432,174.28485587407485,187.88797029618755,194.27584480908615,195.06099380912977,197.56396849895464
7,238.76588932556342,224.56732906993108,215.2781274880618,209.57192538947314,207.1209538075709,211.65436340034523,234.8322279340132,287.56784735698227,343.9448902603165,342.90579601296486,303.12067254163543,260.5302187841119,230.66339975652966,212.17323642339085,199.10532602145116,189.18783527619425,184.58516039067976,188.4119365520406,192.76393782236414,193.532921564427,215.1457156807664,210.73647343599953,201.21713476068683,200.1118296578466,203.97474764665458,212.09496917280134,225.59698007564398,238.7386765845083,249.8483015993709,249.24695281513945
8,253.26027724178797,237.71446739914936,227.34374480455534,221.00085866773404,217.96303381390064,221.13177557021157,239.49025022799498,283.62880532728644,338.58314892693755,353.8130781663235,324.8180183245432,281.81851755717554,247.805882114339,225.7127478550564,210.90295917130487,199.80588279233507,193.87828226303074,196.64681492155313,201.96723198089117,203.83798604907287,224.20952048631545,226.01767422340592,215.30077576163788,210.60863428009486,212.82362105163824,220.83668664315394,233.36935381631054,246.57903827333442,259.42485789920386,261.9027312245249
9,261.68969044978917,244.67975361254642,233.37587071043072,226.36282748626388,222.7864850103791,224.94044447258148,240.3903539867827,279.1679683123148,331.719801625095,355.02812644747115,335.03521500693387,294.44547092251844,258.38067271770603,233.68646917679774,217.29294944794125,205.3145100006649,198.40313353544883,199.9394254567373,205.1923129446253,207.80521861520063,226.32443140064083,231.43208110032333,222.21229075661486,215.79627022462455,216.489982502531,223.76458711569433,235.60408917987814,248.65737509353278,262.0521752409413,266.5508048622491
10,282.3765000260915,262.42937480695156,249.16278152972427,240.84534614325798,236.26631701187114,236.8287617466159,247.47102935179348,276.55711833307146,322.9427558277159,357.87073752759323,355.3151947510847,321.8544914020589,283.3895876160799,253.6204833417759,233.5784608994475,219.45174417293515,210.69574186913349,210.3700533160549,215.40223821345654,219.18229177165242,236.8018427578559,245.87289022353596,239.44051631623017,230.51519451096627,228.01107888436604,233.8868568923281,244.535071436601,257.0386866513823,271.64499644815277,279.45200408831823
11,319.46466455693684,296.2116163273055,280.53103652094075,270.8185879348017,265.3289241963756,265.0983557691041,272.33602819383344,292.26351602014296,329.0460227672311,368.440872993892,383.276538904095,362.0239133245118,324.91175405921314,290.0418842032768,264.7123070057025,246.93869553869786,236.09276896437672,235.25398869388738,240.57240333194449,245.12848136227015,268.61888769288504,278.33609653495296,272.5492143129847,261.8757578557619,255.63530104512336,260.32053737754376,270.16965219226915,281.6474766980107,298.22550392956,308.54262156957435
12,379.5331721724246,352.2751408686455,333.9034895982727,322.67925682319566,317.0570975511271,318.5880521371358,326.3608303475114,340.4067346376735,366.3315052502433,400.6182259233192,423.62432618826904,414.01492756076874,382.11996403064643,345.1234499134202,314.67076675668045,291.7143292706135,278.0118499289857,278.5917195571525,287.22816319548235,293.2418766400884,315.17441750614915,326.25247373167184,321.99835248036936,311.9588052288936,304.4182222693719,308.03841508115534,317.9995711454427,329.6601080483885,345.74907313703704,358.07153551316685
14,21.812326024691334,21.912214753086488,21.53627169135809,23.137851493827206,22.647315271604846,24.511009333333313,26.249833024691405,23.384943469135845,22.641162567901247,20.474078913580254,21.66370530987662,20.659911755555616,20.210275498765355,19.65016301975304,19.71386507160484,20.024469901234603,20.148919496296287,20.853668190123475,19.44170518024693,19.78872145308644,19.277005702469143,19.650938729629623,23.58597795432099,24.783737574074067,24.902329613580253,21.6238799864197,21.5676686432099,21.65092615185182,22.011766709876575,21.22586059999999
15,36.40290703086416,35.695919833333406,35.32055177777788,36.94448170370379,37.19031749382708,39.05348630246907,41.952501734567946,39.58080280246921,37.306902796296335,34.48334429629631,34.74565223395071,34.20485233271616,33.194272449382666,32.335787103703616,32.12779835678999,32.511043264197525,32.80713816543211,33.66666022098767,32.42165064074077,32.10825606111114,31.702849233333353,31.870029782716045,36.508790264197536,39.83136093086419,40.564406449382716,36.914722344444385,35.211904437037035,35.2779897641975,35.72784515308644,35.01915305493827
16,37.19980549975305,36.31973203052475,35.89728106138899,37.29565768851861,37.71744278246908,39.40639249592586,42.219412331574105,40.470977211018585,38.15074383901239,35.35353927324076,35.23404852525317,34.785525105361216,33.818509021540095,32.92813457846905,32.635713925506046,32.95080329973454,33.26223337525927,34.06421986735805,33.06360159788275,32.629054224481514,32.22906782530558,32.32718266078395,36.47657705797531,40.01351001149382,41.081241856308644,37.92465369272834,35.952935242018505,35.798898944765405,36.20753090677162,35.633026863030864
17,596.0440971163058,556.0590190754876,527.8571561210692,514.4071586075837,509.8386620533936,509.0918416301136,514.7178406579862,526.3194569399279,547.6253860524266,575.7020240360791,598.2912607128036,604.1426930738111,580.2255279819827,540.074637695125,501.4611483381924,469.90864784402356,448.0543524866066,437.28358967995854,441.6050334331325,452.02231753095214,457.6469374519923,472.833788548906,472.5683857922303,464.94331985531204,461.885764307944,474.9039297800746,497.6218352951038,512.3923853135568,519.5322455276718,527.7576811145805
18,794.7422486360266,733.1913155387925,685.7786544897824,649.8510864245277,628.8307058639259,621.5342670592199,621.0043347406692,626.9930792890724,637.1285581888211,655.2001097109118,680.3375899781432,700.9862228329099,702.5812305170845,676.4143389992045,636.2332337162487,595.9504866888615,563.2986404876008,550.7896548983157,570.5336871957137,605.7101888038798,635.1763518218631,644.3429128772829,637.4009525011137,615.8927087899306,597.9999973551368,590.8697024136858,595.0337258598603,621.0953050301302,641.2961057493225,645.6112908380313
22,13.414442789076043,13.521283586179367,14.232985249123209,15.75828124651317,17.82933882492614,18.987929591272476,18.00465410739172,17.730957801321996,17.764887914530163,17.201105924397968,16.414724957754654,16.043541519527917,16.30479503512158,16.365051260295914,16.33708385257452,15.914268822031058,15.651857923788134,15.683859410415577,15.874386856355027,17.019157187310178,17.511784273430163,17.590660944518927,17.95895792930485,18.282102079694667,17.169756909569433,16.44922320021376,16.65676812520857,16.914372795096728,16.88951687726423,16.98461309631012
251,21.77844455892119,21.932406570845682,22.78721461425687,24.860573540350824,27.955266048071792,30.2953868790585,29.767498079162685,28.96767384624136,28.86903155238805,28.251168920916456,27.0838001707276,26.272651100459576,26.381235087929316,26.579711335048465,26.578347691786743,26.088267388492962,25.581380934955824,25.486209680126237,25.716747425575036,27.10104115535198,28.22813242999718,28.56326238725062,29.017409116232812,29.565423176341135,28.474476503061695,27.106971245269314,26.980403350849862,27.37424286033515,27.475057027638577,27.569708957647983
24,77.4713272957676,78.33911082223702,76.52253329142134,81.76555663746726,85.62558272684919,94.6772490440171,91.74017095297326,87.79820460821523,84.5482259236095,81.96999900763389,79.72207346297778,76.86945019067329,75.62764896170316,74.29537591067105,73.63035845534971,72.9033503334423,73.8315627122058,73.9144854345972,73.94378665718132,74.24413696103238,74.61282639231177,76.567948434198,76.95120887827147,75.72794391905366,73.74224966135252,73.3539622620514,75.23956595441378,87.01778307296856,91.61872519412748,94.36253232131749
25,77.97695409111431,72.77540474931101,75.0431296589537,79.72471886480791,81.40939830763476,83.23428137911301,85.40895887499265,102.33532346504609,113.88576254730677,86.87714118119659,76.90011717939751,71.96522165467047,68.74459696192953,66.47019458962897,64.64770951559056,62.79203140162411,61.666110049386674,63.44552349103445,69.40858273763621,72.86154822237576,70.90586864544333,69.83448189993511,70.76936555131088,72.46856583332001,71.10525008639443,74.37790193299193,82.0574289061256,83.67177413387651,85.14839883330585,87.55740788403806
206,82.51499391173145,77.73314371673362,76.68824926127249,80.478290404412,83.84404667778884,85.91350361692086,88.15305787102304,98.308342255127,112.1252322084295,102.43344612755423,84.40529203696441,76.98813039297177,72.9855166584891,70.21904796775347,68.14805425294482,66.14677185084525,64.64545439691166,65.19547624570863,69.5031437152351,74.2609436259794,74.899417895018,73.45293315759979,73.57159784624878,74.97068485259159,75.02395155968131,76.16052272811406,81.8598646870847,86.5497777576,88.38587290827975,90.61922440833857
207,83.76045281830396,79.05107444724518,77.241497296065,80.05111099029385,83.54369659351654,85.92182012696443,88.15408734079031,96.65902499517061,109.688391081553,104.84973741359788,88.5277039962634,78.87850760498708,74.16499452555466,71.13369798134256,68.91264116166579,66.87673334882264,65.2661409991165,65.40157801663794,68.95916671728683,73.64248588425465,75.15355193607004,74.14520901947525,73.95071611550755,75.08932328650256,75.4245853818642,76.3340603461255,81.08777915108814,86.02495151621466,88.49263563466468,90.6746860548954
28,86.82367286669962,82.1778722885034,78.9516339274266,79.5160941208656,82.75944172634011,85.78744645391109,88.16020158836993,93.52583693613708,104.23373431050946,108.22227029364258,97.56843236195333,84.53143028746565,77.35119107898686,73.46127194069463,70.82268129503018,68.64595364934016,66.81042629229442,66.10351468250605,68.0286613066498,72.19542767600352,75.32717774320655,75.58760017756467,75.01717875803693,75.50429544556278,76.24510886096716,76.86409873143865,79.70758544170045,84.64173888958419,88.43307169410338,90.83344454654586
205,19.823318853403883,20.139185733291395,19.909995185437808,20.278021274751843,20.072913556057475,20.710584546865938,20.800256024674592,19.805345887482158,19.559289029082873,18.641059436019802,18.463211827509195,18.348213825160002,17.629536697679182,16.812582443383878,16.531088178110608,16.455207449044387,15.911775072977441,15.212327841825836,15.963537768309946,18.35182978964536,22.458930978769178,24.5695592769223,25.720682559781917,25.03973636688258,24.02621924764952,21.7361356038576,20.77591758120184,22.086340808208288,23.2041831882104,24.42531389575116
23,24.21313343872933,24.343767725831295,24.29905175859961,24.565002356043316,24.841474343197987,25.383403735330802,26.38037124944928,25.96643158983945,24.975877364070946,24.122604219924213,23.451975117365834,23.21423771652782,22.742556266617477,21.830416327472566,21.185239135146528,21.006699412598678,20.70084259823541,20.082476406037678,20.117312696886053,21.890887669819993,25.707135822979374,29.370946733938176,30.933512099738834,30.68294101204268,29.659882311331092,27.919953637293204,26.2322720946021,26.41686844888205,27.673076745806295,28.92504805657989
209,64.56544068680631,63.47577233108225,62.813919418946384,64.53799889213603,66.55906470618326,69.76636649801985,76.0079624084419,77.35304695329893,73.60847074193534,70.17774725042683,68.22115959033624,66.72869912910485,65.99736676330878,64.22676707908681,62.451050747066105,61.80720352633716,61.66286144761916,61.384667135959795,60.84689543240117,62.716147714467105,69.60668661876895,78.41745027781128,81.46646736641871,78.65809603813271,76.82508154862806,75.0088682151879,72.70616315594461,71.103925382195,71.66720117725465,73.66577237719832
31,296.6534981562679,288.1155711347911,285.61582842335883,288.83578826299663,304.081092188243,322.2836955976561,340.0769105063577,344.6727017655537,343.0605446067891,336.70725188906147,325.1670051846096,305.5343896454702,290.64000695081256,280.74046943029737,273.33024157791004,264.9063962618913,261.1220024158555,262.5237828253099,268.477236971923,274.96820907856187,285.20281268237125,296.4911287024023,307.57194589628074,309.74870571256145,306.6450924940667,303.73696965274394,304.25593731610365,317.35270855364536,337.6541717966189,352.01446972329376
32,325.4155395363684,314.69237940197644,310.12741177445764,312.83621128270437,326.10629042487534,345.409486329298,363.231024012312,373.1403469728323,373.02938450607144,366.30902591235366,354.0193750227893,336.89187411329885,318.9374026159555,307.18957750426324,298.5650511574296,288.3247112748971,283.00584344236427,286.30631459438484,293.29593494963234,301.2637434839126,309.7825553042586,320.88932284917365,332.6979703495331,338.1465959221861,342.72715170784903,338.2096398020743,335.12385234969304,342.4183900703629,362.3601717539826,377.53396132612403
33,595.2627835511357,572.5642495065811,565.3579515840288,578.4571402832698,606.2299555382717,646.0303332259833,668.4172724959803,694.559576850853,697.8072912604852,676.6587853636174,646.2174869395369,626.1413826777812,592.1702423038328,571.2845892573692,552.6214130193978,522.3571548037627,511.92720652202695,541.335549473731,570.5516641934505,600.0815052413227,609.0410618493713,626.104116254073,645.4082119927946,657.9222549708134,711.5736783477157,700.3328100954253,680.9405023520683,661.3197009377798,700.991273090342,703.4231475501157
99,53.162338464507286,54.72369745370343,56.61772310956624,56.68408979552331,56.39142569444362,56.375425694443614,56.35975902777695,56.954089795523316,57.02331317515401,58.1964059992281,59.54732185571496,59.69689386574533,59.352893865745386,57.16607083333262,55.96625995370234,56.31893090277338,58.319255787036326,59.84472488425714,59.642922453708756,59.4617994212961,57.9276969907419,55.387236342591486,51.64997326388677,48.74187870370486,47.56874722222171,49.43720787037225,51.65432303240696,53.32098969907363,53.83184606481391,54.17551909722086
247,70.40129423019697,76.28000539640087,84.0892035702826,91.13093148563846,96.0430822784255,96.21942976029504,92.3080902539289,86.20502155774638,80.87381816464973,77.11440436046902,74.65869827531733,72.76303188071067,71.71407732862707,72.44326150507626,74.54610664190373,78.93947372939097,84.08699547043557,88.66372695631554,88.64701992041584,85.49331583312416,79.82457563459526,75.74943580929762,73.84660794528783,74.05994572030518,74.05970083358889,73.34125184962014,73.85122910406724,76.4751212991338,79.3884804395274,80.76691422548102
248,72.2625549708382,77.93976372367659,85.58671750661864,93.10920438826157,98.75527359677952,100.1228066748654,97.07292370504058,91.26740500082776,85.52451924531978,81.21792568271293,78.33554575149007,76.22209850523765,74.9184319596173,75.23299670219787,77.07869716864677,81.07967446949418,86.24983792626921,91.1570303189508,92.2879974966386,89.7891599404086,84.51661506923652,79.87588992702914,77.35191933981491,77.04496802405056,77.09810875613316,76.52973596636598,76.7535288049813,78.95658912417778,81.91710395451217,83.73582020875595
261,75.06478969255447,79.86802146109932,86.84454498194118,94.95038362979341,102.12188112041969,106.17616012487778,105.60634806659138,101.08493266177335,94.92014824920507,89.44596543393999,85.49714487955278,82.76701557942721,80.88192653832631,80.23744841024433,81.27716254627853,84.24651305242082,89.05550082520071,94.45563598320899,97.94554444076743,97.48891506260998,93.5429507874849,88.21476417337115,84.2312087067419,82.55393690452776,82.3820025250956,82.15049473378934,81.91579780626694,83.07019795384856,85.76646796069873,88.39777280193941
294,96.54347223664281,99.50107129180857,102.66362221512111,106.06153454095055,108.70120579089784,110.82366120344916,111.1034049048374,110.4012331699313,108.9717058606501,105.77284729380608,103.87579709275889,102.9927306003949,102.63576269806292,103.26930630262342,105.23626817581474,107.12576818447863,108.11955261900759,109.15810017672847,108.78053431685598,107.82914948475094,105.25153908739492,103.39295938550566,101.24669376537466,100.72324219364769,101.02385937143305,102.49910833305753,105.01739947977711,106.63469476065595,107.32162795380844,108.04897932635828
241,101.61854336482118,104.33408303392991,107.38688900942023,110.76583158678584,114.30012114758162,117.44423373223492,119.80704140139031,120.7922177121147,120.37221281244992,118.96164117679609,116.33151595599271,113.81361535485311,112.4763512644754,111.9564442917018,112.35197204002257,113.93116040293103,115.94119993760071,117.40043861593082,118.38680106239889,118.51478446490026,117.5735583688287,115.50847073347086,113.15967263299827,111.08678538087383,109.91386084095288,110.00214144097168,111.21162450898369,113.43895610243027,115.49267684127496,116.63186119069121
118,14.049233000000003,14.843327,15.637258939999999,16.592926759999997,17.710492520000003,18.341554159999998,18.64833374,18.46877126,18.28920878,17.785461476,16.795809674,17.102735108,17.247876043999998,18.203576276,18.835496834,18.981545305999997,18.317634104,17.816090816,16.180629913999997,15.193878986000001,14.855854238000001,14.842759790000002,14.830475642000003,14.981061794000002,14.484380306000002,13.988525324000001,13.007284436000003,12.351314174,12.023320940000001,12.019674590000001
117,17.60734,18.2014,18.59546,19.38954,18.983600000000003,18.37746,17.17134,17.5652,16.55906,16.35332,15.74778,17.54262,16.737679999999997,16.73312,17.32858,17.32442,15.72048,16.316719999999997,16.31318,15.309820000000002,15.906660000000002,15.9037,15.30114,15.49898,15.497219999999999,15.09588,15.094919999999998,15.29418,15.293800000000001,15.293633333333332
161,42.059000000000005,52.699666666666666,67.67399999999999,85.64833333333333,78.955,71.26100000000001,55.89966666666667,53.87200000000001,50.178,45.81733333333333,45.45666666666667,43.76266666666666,53.40266666666667,63.37633333333334,69.017,62.65766666666667,52.29933333333333,47.27533333333334,38.919,36.562999999999995,34.87433333333334,35.52033333333333,30.834000000000003,132.81699999999998,48.801,38.120000000000005,32.440333333333335,29.76233333333333,31.752666666666666,31.747999999999998
