posto,2019-11-02,2019-11-03,2019-11-04,2019-11-05,2019-11-06,2019-11-07,2019-11-08,2019-11-09,2019-11-10,2019-11-11,2019-11-12,2019-11-13,2019-11-14,2019-11-15,2019-11-16,2019-11-17,2019-11-18,2019-11-19,2019-11-20,2019-11-21,2019-11-22,2019-11-23,2019-11-24,2019-11-25,2019-11-26,2019-11-27,2019-11-28,2019-11-29,2019-11-30,2019-12-01
1,54.344285285991795,51.93691925902896,51.010236998895174,49.09576799775454,47.963318204893866,48.106438229140586,48.701285853552186,51.83675719927478,57.05121890080768,59.74436910068402,58.117335644802104,58.19770452794874,57.3416900695356,59.973868832381456,63.48424026943448,60.77692098705791,54.78217751980856,53.07374482655392,54.49366749920835,52.46539012752973,52.787521216138444,52.335445266891135,55.96278708932765,57.37136530364855,53.771316074651295,50.182786990919666,48.804744991139394,51.184621385541696,54.9846884803279,52.48241382578725
6,288.40383171386543,289.63903379028073,292.64111760575474,281.4980757064011,264.48186729914534,251.23171155035237,309.23558843568486,291.18575013123706,324.0462332331969,375.46560817555115,402.3067255526542,392.5883245453618,382.58690792351763,404.9961837949066,489.3121350490867,580.4923221597131,623.2248046828984,606.550789232965,611.7902581796536,630.2707600361821,611.4410566688337,554.5604875390941,527.7943172115308,533.235565052227,511.15899479763743,471.4292205717378,431.38516890737947,430.3606261933551,518.7167224179801,631.0371569515396
7,346.09999107492524,341.3864318931596,337.10038982425516,341.58991937917773,338.4234141916709,325.21237856164123,321.7557375193441,377.73561286475274,364.8185422728822,393.447975846716,437.1120499394473,459.8755345666899,452.28755855513276,455.4446697328045,486.2145144883863,569.3817837500485,654.913206986293,688.0250018989356,669.1041867710444,670.9133994266327,687.0315625325711,669.6734708372917,623.418188590234,613.8330730355831,617.5370619169184,583.5027812690072,548.7648015048993,595.6593124970461,607.1293886051478,706.9366019728633
8,354.3881641905973,354.9760969323283,349.2742398603771,351.683495224968,352.6472121667488,343.20773599907324,338.48097012819164,377.3894033050542,385.26223781375654,400.6190940778937,438.34470927416095,466.6147408197455,468.37363200263513,471.12170148115825,495.1719378326493,562.7255422190425,646.7297029652864,693.4816137862881,689.0077777727743,683.8518170950763,695.610133196679,688.721425554563,653.0569183054488,636.4315095461052,636.123198124675,610.5061834727771,577.1284237507792,619.901015914715,643.7271632177694,720.1815173827633
9,355.44125718723416,359.9080427835657,354.98230099837724,355.9000588720017,357.94998289162476,351.02621300104283,345.9693181096183,375.8964124504221,390.52256738601636,403.8423847567462,436.2650740855521,466.2611050948298,473.7477123853806,477.41726528584854,497.5815938838712,555.9349968469488,636.1653165940065,689.995791842573,695.8922489792611,690.4981568218684,698.6555329343652,695.9435431756511,667.1687918691708,648.0893892566577,644.3252777941772,622.9092975313783,591.6262801679029,626.6807912650861,655.2916087961785,721.7798797491646
10,361.13455540726505,372.50817321362473,369.9674141740129,369.0177892119631,372.8421018845022,370.65410893058635,366.6838944377382,382.3471251017466,404.1714431936484,416.6683353131018,439.2924646891011,469.6017388571497,487.0525469232705,495.538619987776,510.40958368057284,552.4589008197141,622.5820579893435,685.4602723269111,710.4659326670716,708.6883249147819,710.9785717577291,713.6307036348846,698.2755519230599,679.4838083237046,669.1769452565215,652.0499089917283,626.2455406507175,656.9676727877232,690.6595266430613,744.2212763019892
11,381.6624846841671,399.11356772690465,400.11668472277324,399.63852183292454,406.0914836088381,409.1353686691711,410.21981199198814,416.76480217231517,437.3458338281164,451.4533953309484,464.90733430039114,489.8156979257729,515.0026620720138,535.17497246269,550.3804365644514,577.9653008038421,631.8368822849873,693.9782951521604,735.9924655111888,745.1771756804409,744.9407053604109,749.2769472796102,748.6422003892322,741.2318513375077,726.3221842449818,705.7588238299072,687.3465023006497,741.8529503796078,779.4106008627655,829.4143222506239
12,423.44551254229594,444.53281259037993,449.1666151321586,454.0596144565038,465.622445143933,475.94632778119023,484.60051005835,492.4802047886718,509.50962679386737,519.9362499706019,525.503670167966,542.1484866516059,568.1510163830615,599.2654689330054,623.1818278786968,646.4610793217666,684.4639561850687,736.335438511269,784.2943612672675,804.1059081827868,805.387368746989,808.9738656354626,819.9657224143407,829.0795385146705,819.1247480090435,792.100230048381,775.127982303136,844.6669816905775,910.965721064833,971.5341323838359
14,22.011766709876508,20.467388132098787,20.754645986419767,20.39221465555558,23.18012654691353,33.252122943209876,39.57728700740739,41.259747997530866,33.18759296296299,29.637258916049404,26.28632393086424,30.83154789629625,41.690477366666556,63.586694333333334,51.560631025925936,44.8393456049383,39.846604395061746,39.19121658024692,37.54936797530864,35.166606703703714,30.28434171604937,27.84367086419753,28.290895987654316,25.91056401234569,26.065070283950586,30.45212965432096,42.46006556790122,49.7779990246914,50.465505012345695,47.428410512962955
15,36.14171475185182,34.161076943209885,33.71386860370373,33.44747122098769,36.42027985679008,49.20890056728393,61.40069204197529,66.46667814691358,58.17570714691361,50.12306085061732,44.55690946790129,48.02355098024688,62.58110193148133,92.78222484999995,90.12499091296297,76.50802542654324,67.49898788888892,64.26116304320989,62.076010722222236,58.559417672839515,51.84462632098765,46.64231073456789,45.92793064814814,43.45862277777779,42.44325303703701,47.483680191357976,63.26204438888886,77.54494685185188,81.98170379629633,78.88952687932098
16,36.74466342991973,34.92107282343827,34.27547767519756,33.98248296214201,36.59498297516664,48.34845648698146,60.797728488268504,66.830430056,60.08471412911731,51.88148755041361,45.92103203275931,48.31057405590739,61.70012459154925,90.39881785793513,91.80902001878704,79.35776649374384,69.63760239942904,65.62980859456792,63.280294923179035,59.87738306910495,53.461644634783944,47.99223484388889,46.70614711867283,44.41916560324074,43.20682305018517,47.56588199993822,62.23867953003083,76.92275824675927,82.65683473518521,80.4593918971327
17,604.165278651312,623.487188635714,637.2175389336622,638.0026268499278,642.3127661414414,656.9069399719616,680.9313445627205,708.6399852330638,745.485371198357,788.2049080453335,819.7356069377524,836.9047928336764,858.6507080699968,892.1539818289568,944.061947227911,1004.349161239957,1061.6153204273332,1116.844898009007,1144.7153462064348,1146.1296866316547,1131.3146132409456,1110.9499039000832,1099.5038122298008,1104.9219243216062,1113.483452917331,1108.4741962142828,1089.5233925111356,1086.5931881953825,1169.6118609409664,1267.4362895336556
18,701.571259587802,713.7638707534024,725.818820774233,730.3997468444679,727.3986737348697,739.9357626110112,776.1971281953022,830.5346497175276,880.2299031153351,927.4350761486224,974.7671657825881,1002.9133278176091,998.5613821216789,1000.9239703485094,1026.1215776849795,1082.5549415697546,1150.0090324089067,1209.3226502021396,1266.0743233046096,1294.7649968590597,1298.8625813912574,1282.5821617234672,1264.746878211439,1252.8760532713832,1255.4777696582437,1266.0547185231796,1297.8524752536919,1303.972604530402,1301.1695719326685,1389.1975177062486
22,13.21622218332981,13.825507682301945,14.885679319048421,15.140190276943608,16.398053416306063,16.75027031531798,17.754219961393453,17.72771795989318,17.056856680671466,16.75838572384025,16.27651021531868,16.26075850936356,14.73361090727519,11.770697167738163,12.62943787084281,11.83193790283761,19.382154598194447,27.031370577098855,30.780981387488737,41.30995755975276,40.22882630386276,43.226141214627965,43.0298982579717,45.120776675908964,55.105976606648106,52.50682926972506,46.20747624237989,42.611266968902655,46.09907100879242,51.3746492081426
23,36.933132894718,39.1547313857014,40.552420874999896,42.38910884292247,44.63832040586951,44.01597780334538,45.66836203998666,47.857321652913754,43.9372722542261,38.78951669176197,35.7628843149574,33.537501510416625,32.7056774273702,35.910426678511236,41.84189595162214,51.528328140469924,57.48698426724443,53.498199529283625,56.52563382111504,59.18002562663171,58.1906154474242,58.151661215039844,57.112499688445155,57.400074626765985,55.12731804304885,57.12557336813857,62.88729625158476,72.22483798476128,75.58441147699551,68.6640597254998
24,80.03080447926573,83.52718975049284,86.99216349393593,101.71527279658562,114.86230886688277,114.57265420562705,112.12959905080255,109.81534170948662,107.90485531478835,100.35779134315285,91.78575624925008,85.89131878012206,81.64873337892817,80.8128509037526,83.74775197607495,99.85843097801438,116.66049308086814,138.44346551784483,168.6433684336267,190.8962307418285,202.0894373217225,206.6050542523643,213.866439407833,213.39073410420835,217.11523824560783,220.02009216691937,208.43698258157207,211.43313858762022,223.93043615406515,239.3660306326911
25,111.62159160867252,113.61118546485794,116.7222160279129,108.14363383449927,104.71607755904265,105.1209720404794,101.4739526848997,102.87711177996631,112.70155894502552,112.94990399572626,99.64631038240881,97.27915995598845,115.42858301258285,118.24621139249624,103.92978463140797,101.26272544427056,103.77761308251412,103.91013303995557,108.65493304475453,108.82797164060936,110.89933328817517,107.55585286052624,113.78725301537631,139.09643479490924,139.78409164681892,131.63666532641366,115.93988197959368,123.5941658365971,166.8147076727551,252.14582221028658
28,113.84814840841952,117.10591165100837,119.60027983421247,119.71986786116089,115.86240425872937,111.92371514496065,109.79983315500014,108.27309613816615,109.84565970288716,114.45116144156025,114.47108836778936,108.40580748611681,107.45695363710269,114.98141602678936,118.12275323865576,112.73709841490398,108.60342491071319,108.9819152054446,111.22516715698873,113.78884403575435,115.72013473014452,116.0886492246943,116.60902898081306,124.78742633402233,139.2375562048152,146.75919446593358,142.79667386044144,136.90337927801215,146.49788493977786,187.6058276916218
31,365.05138437762673,381.51937053404663,389.13872616173154,396.3234283755205,408.09930099160226,417.9953536160447,414.72770930755706,408.58558076782316,406.0721647961823,404.0232571389447,389.9011081395521,371.6502074257631,357.26007201719017,351.6760955596218,356.92964665217653,372.835736555138,407.4219775970579,451.2098768515004,514.7414483097555,577.9170375029375,602.1507467620658,599.2658065550231,604.9549754957932,637.6504158541825,691.8327811835936,734.5175499181155,762.4590547880036,784.4495624641967,831.5392607579536,920.0083568564054
32,385.935295613517,403.6175841037666,412.6368848218483,419.59210729074726,429.84365351633704,443.689920142837,445.80768188594107,444.4068334803984,441.5786991911199,436.17838595437195,423.26432021887854,404.88668460332116,388.767423929751,382.6087886356484,385.1429342768006,398.1127002337936,425.99443512469315,467.74450478441537,525.4578916590646,588.5401772768954,627.4443082937622,636.0487901461138,638.6846931944522,661.5042906409631,710.2849177514834,759.4578057476512,794.5050949881893,841.1290514747768,886.1640810984989,974.0477001465224
33,692.3465659118732,706.8586625769049,703.3420944453878,708.523861897331,713.7214402888576,754.199213939345,777.5445571152,819.9338992227531,832.4426221845017,804.9734958022352,773.4839637886917,746.3451853360236,724.3330623063623,731.5530275485885,734.5013600563759,744.4821600726716,756.5516498241775,798.9718984074182,857.47220460013,923.3362636099882,997.5346512589329,1045.7691028972306,1047.4061694886418,1045.2686334591342,1093.9217338169967,1178.687055560262,1265.1890599901215,1516.6173222988818,1628.786132798188,1828.8428852433417
34,1712.9091830163304,1754.4099495232063,1800.82793793938,1824.5040247723787,1819.107688887286,1837.9411078713338,1888.2282933427132,1978.7010310590679,2084.6761618460214,2147.706459444803,2175.989377202995,2200.6542902674196,2185.1664565630695,2153.372864196822,2137.680314441899,2149.8992466606096,2218.0957200341954,2307.0592312072527,2406.064339674606,2529.6837487508205,2644.894259889317,2762.657776658971,2839.278873495954,2873.257922057823,2899.8674314396735,2990.98634941119,3131.1274585477995,3280.604660792102,3529.661008981203,3733.972125967496
47,54.16121837470081,53.05069538444043,53.14702850814778,52.14716224131612,52.29255642278172,53.28368334397141,69.215896997058,96.04610511533026,98.70876979652111,90.10645861470145,92.74981206456977,128.83395042212408,174.84845104537797,177.4740783676037,175.5973258093609,199.58756879917337,206.82795615730376,173.8249061573497,140.93615104626826,119.36356094730802,97.22975933125758,85.91233505249745,82.33764227785994,83.33588684047407,90.5658739680899,117.93465332456383,126.39245058835613,176.5133377399283,270.01487132444856,337.237265373022
48,56.09931889604371,54.84974015284601,54.664364477494814,53.8344331498576,53.728473214372734,54.85583645580064,67.96547429016829,92.69598527223634,102.11980547221873,96.05565990076659,100.26373869877405,128.16554041852552,169.67150098453914,181.56438511411605,182.93423729236784,200.1244669942081,209.49550194717523,184.06457574644122,150.57966974739858,126.29961136433272,104.11066204826356,90.51923244972585,85.22356936576661,85.21570604711499,91.16049442689008,115.26284554668054,135.93703351509257,185.3601855946688,261.3572018816664,332.1116262274366
49,89.92430905040095,87.81394903510102,86.63839575563938,84.78427531959808,84.19534626034232,91.33472499837924,106.50070804920236,130.619682533759,180.46548164926924,184.1840920988273,265.90093308264994,261.0981594712704,246.90151756271672,272.75205355045546,326.223978734354,309.4507834424276,292.61930432281395,262.1270478923853,220.31252370997206,185.718213115646,158.9956498914425,142.1432282218151,131.64254912897235,128.6042974124731,132.749631566972,169.9030071813575,362.095262189131,568.0583206264166,460.5599970071936,491.0497793951912
