,2019-10-22,2019-10-23,2019-10-24,2019-10-25,2019-10-26,2019-10-27,2019-10-28,2019-10-29,2019-10-30,2019-10-31,2019-11-01,2019-11-02,2019-11-03,2019-11-04,2019-11-05,2019-11-06,2019-11-07,2019-11-08,2019-11-09,2019-11-10,2019-11-11,2019-11-12,2019-11-13,2019-11-14,2019-11-15,2019-11-16,2019-11-17,2019-11-18,2019-11-19,2019-11-20
1,35.70979716502644,35.38996719935735,35.01228559114448,34.437520686738,37.18943256858466,40.0530233322926,38.372963273662094,39.47095189623538,39.88422062483461,45.636651316201366,52.95222287661265,52.88477903350382,50.548518772450365,49.62011698938645,48.003713988762534,46.62796948428225,46.461612492392454,46.6745231791778,49.297658716531885,53.925299663656034,56.16696048486261,54.330387087571786,54.09572367972221,53.08991092980074,55.70969901130026,61.1134832773693,59.20580056633021,50.181508655891456,46.47070805583079,46.4670087215841
2,35.70979716502644,35.38996719935735,35.01228559114448,34.437520686738,37.18943256858466,40.0530233322926,38.372963273662094,39.47095189623538,39.88422062483461,45.636651316201366,52.95222287661265,52.88477903350382,50.548518772450365,49.62011698938645,48.003713988762534,46.62796948428225,46.461612492392454,46.6745231791778,49.297658716531885,53.925299663656034,56.16696048486261,54.330387087571786,54.09572367972221,53.08991092980074,55.70969901130026,61.1134832773693,59.20580056633021,50.181508655891456,46.47070805583079,46.4670087215841
6,182.43849223011443,185.37454715489216,188.91344790334904,193.9275082917437,200.48846637622677,211.270404085942,224.00687052199783,232.2153741341741,255.51730526396258,284.7946031149492,295.50580665427293,292.24925518132574,293.72793239882685,297.1262896412078,285.4282847080399,267.9559960390656,254.96436010792308,314.02949583869696,294.85182885685435,328.322517069149,380.44449666005903,407.29035482048295,396.8227601066008,386.65991891098037,412.0534125464833,501.00573338799614,597.0911005621483,643.7036919997635,627.6357976833433,628.6300461330698
7,220.4344330490556,226.38735948937577,229.28827555877683,252.778077565512,251.5973386609176,246.9339066544611,252.891473706502,264.378070468338,277.5117765917309,302.83031112815274,330.5805423836703,344.8497739127561,339.62347282642725,335.7045056953519,339.63617743133966,334.44775419530623,319.7938588747327,315.18407275345163,371.02987283168983,355.8282248777999,385.4265349849099,430.34691339990053,452.38601775278016,443.17579503302164,443.42909900847803,475.4197808693447,562.6769074817288,653.0077058972047,690.8834364431606,672.7468662161266
8,227.921263233709,234.76490427086085,238.5420844706961,260.61666465492755,265.18705709888286,258.90858037077925,260.6362461796956,270.26531591696903,283.91007122739114,306.08261204435263,332.9497185775096,352.10629707904724,352.06610435735917,346.50176279327025,348.4118947637567,347.44123234777146,336.15541498413535,329.85751647243336,368.0798482718223,374.0116813286818,389.4703719445735,428.5029454352312,456.46528704494347,456.65668383362157,456.21163049676903,479.8568626237762,550.5348238647396,639.1168570318296,690.8784806841603,688.4373857022525
9,230.7894688413697,237.52417261521083,241.9344447975443,262.0963231658526,269.7157208025819,264.60880575487744,264.200065953199,272.08167468894504,285.3000865282875,305.8647975996192,331.6819193274828,352.84019109860486,356.5923924813556,351.6558523507171,352.11979401927186,352.39387632248565,343.50835244147305,336.68499497972635,365.63617301667676,378.4653900017891,391.49533308548735,425.02956304570387,454.98766461445024,461.08352971257966,461.62424448586336,480.6277507892546,541.3169706661873,625.8163222393638,684.6639672900227,693.2496795029853
10,240.30739016457585,246.69187298880288,252.0541954286135,271.08688846827744,282.2222319541543,279.3032861387789,275.59665935631995,279.7340249831024,291.902561697871,309.8892480946132,333.31200763359266,357.54255927804275,367.9552310149893,365.1424587483244,363.6737592088022,365.87116235501344,361.521146480166,355.3082794967756,369.3645428692967,389.39819526748727,401.07421051302435,424.3851779705877,454.94484831360967,471.3233687445549,476.6197560532017,489.00931076755404,531.7851393890801,605.3545844010912,673.2169844803061,701.9857558491224
11,263.8496328417048,270.2373033979121,276.0739442017782,300.4055907819788,311.6709664090949,308.8240968739002,302.5183764859665,302.08632668264187,312.86036865059526,329.016375040429,349.2614156569077,375.6138115399916,391.61334979295,392.0715087224029,390.6398863587751,395.1223831916751,395.65162293185193,393.65209501601714,397.59867294333054,415.7309985717951,428.7492581056727,442.49171822799383,467.4430421176151,491.671487648096,507.9597775405694,519.2118940810949,545.5790604615344,601.4985494966396,668.4776284968799,715.0974379319032
12,306.17554493333967,315.71835618086135,322.7810198379998,345.28236047489344,357.44704647354166,355.6040998621619,349.2791240237671,346.79881852477854,356.10625666808625,371.9071824477046,390.94631163640815,415.9890952905615,435.22394560178003,438.94889108653643,442.6729912493685,452.0837431964956,459.69478899794615,464.8896316630231,469.46220108890594,483.4330770926059,492.30357248203313,497.7846190948115,514.2777313684089,539.3855488590925,566.6916028479135,585.8796289961807,606.4417720359712,644.7458171558983,700.5144467666659,753.4639022037401
14,20.85366819012348,19.44170518024693,19.788721453086442,19.277005702469143,19.650938729629623,23.585977954320988,24.783737574074067,25.32802405802465,22.45161918395062,22.395407840740763,22.478665349382734,22.011766709876508,20.46738813209879,20.754645986419767,20.392214655555577,23.180126546913534,33.252122943209876,39.57728700740739,41.259747997530866,33.18759296296299,29.637258916049404,26.28632393086424,30.83154789629625,41.69047736666656,63.58669433333333,51.56063102592594,43.23116659259261,37.4343358765432,35.336316888888895,36.07296125925929
15,33.66666022098767,32.42165064074077,32.10825606111114,31.702849233333353,31.870029782716045,36.50879026419753,39.831360930864186,41.04600367160488,38.06400860987653,36.562213079012366,36.62829840617288,36.14171475185182,34.161076943209885,33.71386860370373,33.447471220987694,36.42027985679008,49.208900567283926,61.40069204197529,66.46667814691358,58.1757071469136,50.12306085061732,44.556909467901285,48.02355098024689,62.581101931481335,92.78222484999996,90.12499091296296,74.68865814259262,63.965847456790115,58.693898382716064,58.47827040740746
16,34.06421986735805,33.063601597882744,32.629054224481514,32.22906782530558,32.32718266078395,36.47657705797531,40.01351001149382,41.509863384086366,39.007718121740716,37.298370716555574,37.169462216370405,36.744663429919726,34.921072823438266,34.27547767519756,33.98248296214201,36.59498297516664,48.34845648698146,60.7977284882685,66.830430056,60.084714129117316,51.88148755041361,45.921032032759314,48.310574055907395,61.700124591549255,90.39881785793513,91.80902001878704,77.7385296110278,66.26568650436728,60.23330049271605,59.38239796043213
17,472.42558671381363,478.82940262488347,491.23702583228265,498.5011582693042,514.7829076214541,516.0241788162025,511.5830819635614,513.5952926232317,533.9660285967041,564.7625588279334,586.7165879631525,601.7691139158993,618.774481780536,630.8048374555383,630.7322850253585,634.0210883427143,646.552919742772,668.1118860933913,692.8344261392924,727.0320030096461,767.4885064856987,798.1622092993256,815.09372259987,835.8295161370493,867.5184621464483,915.9245233436923,969.299850737628,1016.2860918255864,1064.8280215613008,1101.256987117293
18,578.228277834525,597.6610650712644,632.3655301305289,661.55536425555,670.6251678140741,664.7933491110188,645.4148170578397,630.302826136015,627.3561413270713,638.3967625697262,671.2184254379428,697.3204520336925,708.8796929467619,724.6083275968532,727.3157383643498,718.1467601730842,720.0427950375583,730.8308781084554,780.3667159796065,842.0182523145443,899.4788322202986,941.9865667498202,971.955832752656,973.1042283959283,962.8085505322803,982.2764094647362,1039.404137970137,1101.3264339185048,1146.670381968865,1196.318170124628
22,13.035154772320965,13.14885483741009,13.954113449247036,14.152913923225446,14.093814705520835,14.130193985115518,14.140805921111498,13.021204699530074,12.275169121438124,12.350678602728548,12.442621200259133,12.412294439140966,12.913726790825054,13.867807833534469,14.027433286221203,14.789477304927411,14.734567932123802,15.30815436334417,15.049743324250702,14.261363959231307,13.702746026656113,13.058674115223432,12.907002316779039,11.586237149605758,9.124686701250779,9.841903663495316,9.20845653973032,15.101195717151723,19.252547279092642,20.9811855067092
23,23.08328443487403,23.381392426952246,25.747355014203983,30.633307752750028,35.396526162159205,37.72203444764102,37.913117730067114,36.951277153388695,35.0862343137144,33.32199264669027,33.91015549795374,35.867039990912794,37.95649389883963,39.43061820541504,41.105409599727004,43.009757371863905,42.22086611119313,43.61677293690404,45.540748085398114,41.63193666616266,36.70289878869361,33.621472041258805,31.25123458533741,30.20475109542358,32.86471066577297,37.920228831890654,46.596172745244104,52.02273320004062,48.489016607671395,51.41732632705863
24,65.82132652555973,65.84830926544724,65.42861161466078,65.33774610532768,66.43696229723146,66.36225167986278,64.2197206839023,61.848222639282206,60.81961811379071,62.004895275497596,71.82633564648302,75.60634716346226,78.06790142345031,80.43523543746862,100.05401275138931,112.16729692045355,111.21698321909466,107.44282804409184,103.04955576832586,98.84129026966643,93.5676280454624,85.83986164623934,79.7282424358404,75.20675822585564,72.97037351255936,71.25458497703484,78.39213137810894,106.78519051884993,163.68121326610046,161.9449566167295
