,,,,,,,,,,DADOS,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,USO INTERNO - SOMENTE PARA CONFERÊNCIA,,,,,,,,,,,,,,,,,25/11/2019,,Salvo,,25/11/2019,SALVO
,,,,,"Segunda-Feira, 25 Novembro de 2019",,,,,SIN,,Program,,Verif,%,,,,,,,,2,
,,,,,,,,,,Hidro Nac,Soma,39.359,soma,38.778,"59,73%",,,,,,,,,
1 - Balanço de Energia,,,,,,,,,,Itaip,PDP_TOT_SUBM_ITAI_SE,6.258,VER_TOT_ITAIPU,6.268,"9,65%",,,,,,,,,
,,,,,,LEGENDA:,          Verificado,,,Termo Nuc,PDP_TOT_SUBM_NUC_SE,1.990,VER_TOT_SUBM_NUC_SE,2.013,"3,10%",,,,,,,,,
,,,,,,,          Programado,,,Termo Conv,soma,12.836,soma,12.042,"18,55%",,,,,,,,,
,,,,,,,,,,Eólica,Soma,4.874,soma,5.340,"8,23%",,,,,,,,,
,,,,,,,,,,Solar,Soma,352,soma,481,"0,74%",,,,,,,,,
,,,,,,,,,,Total SIN,Soma,65.669,soma,64.922,"100,00%",,,,,,,,,
,,,,,,,,,,Interc. Inter,PDP_TOT_Inter,252,VER_TOT_Inter,257,,,,,,,,,,
,,,,,,,,,,Carga,Soma,65.921,soma,65.179,0,,,,,,,,,
,,,,,,,,,,Interc. Inter,,252,,257,----->,(somente para preenchimento da Primeira Tabela),,,,,,,,
,,,,,,,,,,Norte,,,,,,,,,,,,,,
,,,,,,,,,,Hidro ,soma,4.216,soma,4.391,"6,76%",,Interc N,PDP_TOT_SUBM_INT_N,1.607,VER_TOT_SUBM_INT_N,1.589,,,
,,,,,,,,,,Termo ,PDP_TOT_SUBM_TER_N_REAL,2.888,VER_TOT_SUBM_TER_N,2.824,"4,35%",,Interc NE,PDP_TOT_SUBM_INT_NE,2.112,VER_TOT_SUBM_INT_NE,2.273,,1,
,,,,,,,,,,Eólica,PDP_TOT_EOL_N,217,VER_TOT_SUBM_EOL_N,265,"0,41%",,Interc SE,Soma,505,soma,684,,1,
,,,,,,,,,,Total Ger,PDP_TOT_SUBM_N,7.321,VER_TOT_SUBM_GER_N,7.480,"11,52%",,Interc S,PDP_TOT_SUBM_INT_S,662,VER_TOT_SUBM_INT_S,111,,1,
,,,,,,,,,,Carga,PDP_Carga_N,5.714,VER_Carga_N,5.891,,,,,,,,,1,
,,,,,,,,,,,,,,,,,,,,,,,1,
,,,,,,,,,,Nordeste,,,,,,,,,,,,,1,
,,,,,,,,,,Hidro ,soma,3.329,soma,3.180,"4,90%",,,,,,,,1,
,,,,,,,,,,Termo,PDP_TOT_SUBM_TER_NE_REAL,2.309,VER_TOT_SUBM_TER_NE,2.126,"3,27%",,,,,,,,0,
,,,,,,,,,,Eólica,PDP_TOT_EOL_NE,3.225,VER_TOT_SUBM_EOL_NE,3.531,"5,44%",,Itaipu,,,,,,0,
,,,,,,,,,,Solar,PDP_TOT_SOL_NE,299,VER_TOT_SUBM_SOL_NE,245,"0,38%",,,,,,,,,
