posto,prod
1,"0,2001"
2,"0,2402"
6,"0,8107"
7,"0,367"
8,"0,5448"
9,"0,3931"
10,"0,1546"
11,"0,2476"
12,"0,2008"
14,"0,816"
15,"0,7511"
16,"0,2284"
17,"0,5058"
18,"0,4618"
22,"0,3534"
23,"0,3557"
24,"1,1607"
25,"0,9651"
28,"0,4155"
31,"0,7011"
32,"0,2657"
33,"0,6337"
34,"0,3856"
37,"0,1769"
38,"0,1873"
39,"0,1763"
40,"0,2128"
42,"0,2799"
43,"0,4003"
45,"0,1766"
46,"0,1711"
47,"0,2843"
48,"0,2306"
49,"0,6164"
50,"0,149"
51,"0,13"
52,"0,1501"
57,"1,042"
61,"0,3714"
62,"0,2233"
63,"0,1844"
66,"1,0279"
71,"0,8127"
72,"0,8338"
73,0
74,"1,0936"
75,"0,9015"
77,"0,8891"
78,"0,6079"
81,"0,1472"
89,"0,3865"
92,"0,9109"
93,"2,2418"
94,"0,45"
97,"0,3369"
98,"0,7605"
99,"0,402"
101,"1,783"
102,"0,1909"
103,"0,259"
110,0
111,"0,3762"
112,"0,7953"
113,"0,8161"
114,"0,3355"
115,"6,3807"
120,"0,5133"
121,"0,7033"
122,"0,3574"
123,"0,5618"
126,"0,9334"
131,"2,633"
134,"0,7691"
141,"0,1669"
144,"0,1958"
145,"0,5343"
148,"0,2543"
149,"0,4146"
154,"0,3055"
155,"0,322"
156,"0,4365"
158,"1,6415"
169,"0,2423"
172,"0,4409"
176,"1,0201"
178,"1,0775"
183,"0,9246"
188,"0,7159"
190,"0,3769"
191,"0,3854"
196,"1,6869"
197,"1,1593"
198,"0,7165"
204,"0,1405"
205,"0,6226"
206,"0,6204"
207,"0,498"
209,"0,6254"
211,"0,3501"
215,"1,4127"
216,"1,6071"
217,"0,8795"
220,"0,5573"
222,"0,5679"
227,"0,2353"
228,"0,2039"
229,"0,494"
230,"0,2179"
241,"0,3741"
247,"0,2447"
248,"0,3212"
249,"0,0937"
251,"0,643"
252,"1,2251"
253,"0,2133"
254,"0,9292"
255,"1,4679"
257,"0,2376"
259,"0,7696"
261,"0,2383"
262,"1,0242"
263,"0,4124"
269,"0,2056"
270,"1,041"
271,"0,2033"
273,"0,3079"
275,"0,5515"
277,"0,1631"
278,"0,5103"
279,"0,2782"
280,"0,1788"
281,"2,2043"
283,"0,4464"
284,"0,2995"
285,"0,1522"
286,"1,0236"
287,"0,1601"
288,0
290,"0,2419"
291,"0,8689"
292,"0,8032"
294,"0,447"
295,"0,9305"
296,"1,5436"
297,"0,1679"
299,"0,2874"
302,"0,1163"
303,"2,5295"
306,"0,314"
318,"5,5632"
