posto,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23
1,127.03526398309619,119.43806390913103,114.76525830749209,111.98697554780179,114.30919786777966,119.92231120733358,129.06685665404416,140.9221524538989,145.55731551159377,136.61302278712748,125.52769107824193,120.66057742076953,111.46380517593329,102.9308572527295,100.87342323799507,100.50444447468163,98.33446828623254,96.52499025718669,100.4113005403104,104.50608534423539,99.35472937740789,94.19535929411188,92.22673688725034,90.55775008903592,88.67146692624978,86.89097332779421,85.52439539314844,84.39597628165882,83.28880531494332,82.2446694536332
6,1169.3177689156892,1067.980544347723,976.4492520036965,897.5919520046825,839.3509376166821,798.1587760760215,826.4539704829092,939.462894278846,1054.8640243773148,1102.3997886860893,1036.856858208303,945.8153759012557,867.515911027395,807.5216690025034,767.4710064986295,744.5286495676944,742.9489002607331,731.5202496968241,708.3065672189057,694.9345829494898,691.310891648882,688.6536360776024,690.4482674193025,691.6065129910648,693.408928131614,676.9005513376703,651.7462729290229,631.4899505034336,614.5852109233693,598.9928035065738
7,1455.3865880241574,1353.2777644316338,1232.150701616687,1130.6748222798506,1052.3985357719157,1008.8710314511862,976.2806781259011,1008.1213111185909,1112.5658473432613,1213.205213061426,1247.193804754174,1174.8309641380044,1078.6994276622893,997.1514516541106,935.4683836725148,893.7911731790986,869.0033052369587,863.1391781300557,848.1198462761242,823.9335506129378,813.1153065988756,824.741677821275,821.1030494642567,816.6993349959894,812.7850467029747,817.6748301868279,798.9978313050885,770.7529225078634,747.1989471016483,726.9967952385326
8,1511.857287979298,1426.4862076937218,1306.2449577595,1196.6207132398897,1111.5137253444377,1061.0826536752013,1026.6191829879895,1039.6710680161757,1120.9400666826766,1219.9352643818643,1271.3246897038387,1228.6523698108604,1138.1562223440399,1051.4290396923877,983.3705459484048,935.3184335210456,904.9732104896596,892.6956573768863,879.6312924294932,857.7996136338625,843.5779456435463,852.1679233016846,852.7123092408679,847.1074764877153,841.8736602173983,845.0841243577464,832.8634527509806,806.6488662178017,780.9334783060625,758.9801513682943
9,1535.7529222657176,1462.2415196464774,1347.3361269163058,1234.4999635093445,1144.2586675499842,1087.940616648785,1050.6954803595459,1053.8498321380196,1120.0795945648335,1214.2422440287462,1274.705824611896,1251.0799166592885,1170.0103160036276,1082.1148972424255,1009.9264749970827,957.4829760483454,923.187591445391,906.7760087381786,893.5795762424415,873.4423876851343,857.8403729514195,863.1303185899166,865.2394444024957,860.3263464352581,854.5282921638592,856.3472008426858,847.1686660459977,823.5548640580407,797.4072459784065,774.3500625965213
10,1594.4934188285945,1544.284493886138,1441.10819615515,1324.5486204132785,1224.816844530682,1158.1899000810467,1114.5567867978552,1100.8823079001302,1138.463544523499,1217.7269971481505,1289.8178969771748,1299.6562800011518,1240.9858481993751,1154.838614316645,1075.4171744629436,1014.107479345731,971.5029830176916,946.5814005051149,931.1984713074487,913.5755019856257,896.6705657687658,897.4109889794904,900.5266568859386,896.8532826744452,890.030762453375,889.7278802161483,884.6375478916058,866.1382938174714,840.1073286406252,814.8466403751156
11,1709.355864799872,1684.1951828050505,1595.1799287257509,1478.9228299159718,1370.6075529521268,1295.9712232254947,1244.3226145050735,1215.6783965793084,1222.3460076654976,1273.487637739591,1343.7744190681576,1381.2265453484222,1353.381281014708,1278.5252794371872,1194.2036589072957,1122.410874889561,1068.7848334844234,1032.6583415700195,1010.6150597002315,993.268563206774,977.3147937737197,978.5117221633636,979.7278853427213,975.6837249240696,967.3247536213167,966.111052767939,962.3111921102584,948.5063624806533,924.1442249476114,896.4533548798381
12,1958.1555822360244,1935.0317525419719,1852.5005549881494,1737.895771178592,1625.9291958587871,1550.35585467577,1500.1283287541262,1464.8362335392897,1444.9487553339907,1460.0072390059827,1510.1842559718928,1555.0393684109013,1550.4248358972159,1491.3492047880877,1407.1453640603786,1325.9134519556237,1260.5342212251849,1212.014639646282,1179.8183923679235,1158.154825974485,1145.8416672205879,1151.3194543882153,1155.3463415862645,1148.4400376690692,1135.0355624248202,1128.4645336596343,1122.1648462238854,1109.494905427756,1086.3469158075181,1057.594615900379
14,51.21793678148149,50.54666167160511,49.6246998333335,49.32877748888891,49.27955358888899,73.1413936518513,72.59842549629633,62.82979144814855,57.99169802962959,51.92875493209864,50.08491677283935,48.11012365061703,45.99248639259272,44.79319881358044,42.78813408641995,42.887912323456675,41.01888591851841,40.457956106172865,39.6493614283952,39.77918650370368,39.01694522098757,39.522025435802234,39.41515834567892,38.31206862962953,37.862452049382895,37.63419658024697,37.30945037037041,38.20124428395058,35.57943571604945,38.416585129629674
15,84.45225884506169,82.79348693765452,81.41481425246941,80.61905006111122,80.41540083888901,107.38619848703647,118.70284704074051,107.37989850555601,97.0221430055557,87.74395920308626,82.6265141413578,79.4704694006169,76.08734455493828,73.67174625864224,70.80372989444477,69.91407878271602,67.84949838765414,66.28039330123454,65.08514795617302,64.82772449938275,64.0302971845678,64.22058458395031,64.35222366851829,63.050841154320835,61.99063545061743,61.507596870370534,61.02607680864206,61.87260921604937,59.35239811111117,61.25122158950626
