posto,prod,new_prod
1,"0,1971",5.6537
2,"0,2447",5.6537
6,"0,7726",5.6537
7,"0,3337",5.6537
8,"0,5627",5.6537
9,"0,4043",5.6537
10,"0,1525",5.6537
11,"0,2472",5.6537
12,"0,2038",5.6537
14,"0,8146",5.6537
15,"0,7461",5.6537
16,"0,2064",5.6537
17,"0,4939",5.6537
18,"0,471",5.6537
22,"0,3502",5.6537
23,"0,3621",5.6537
24,"1,1027",5.6537
25,"1,0025",5.6537
28,"0,4018",5.6537
31,"0,6813",5.6537
32,"0,2826",5.6537
33,"0,6241",5.6537
34,"0,3901",5.6537
37,"0,1723",5.6537
38,"0,1881",5.6537
39,"0,1872",5.6537
40,"0,2059",5.6537
42,"0,2601",5.6537
43,"0,3997",5.6537
45,"0,19",5.6537
46,"0,1698",5.6537
47,"0,2926",5.6537
48,"0,2296",5.6537
49,"0,6509",5.6537
50,"0,1497",5.6537
51,"0,1289",5.6537
52,"0,1509",5.6537
55,0,5.6537
57,"1,0462",5.6537
61,"0,3978",5.6537
62,"0,2243",5.6537
63,"0,1863",5.6537
66,"1,0342",5.6537
71,"0,8133",5.6537
72,"0,8299",5.6537
73,0,5.6537
74,"1,1477",5.6537
75,"1,0242",5.6537
77,"0,9233",5.6537
78,"0,6307",5.6537
81,"0,1472",5.6537
89,"0,3848",5.6537
92,"0,9186",5.6537
93,"2,2427",5.6537
94,"0,4589",5.6537
97,"0,3601",5.6537
98,"0,7585",5.6537
99,"0,3995",5.6537
101,"1,7836",5.6537
102,"0,1985",5.6537
103,"0,2629",5.6537
110,0,5.6537
111,"0,3797",5.6537
112,"0,8282",5.6537
113,"0,8259",5.6537
114,"0,3432",5.6537
115,"6,5259",5.6537
120,"0,5046",5.6537
121,"0,7003",5.6537
122,"0,3524",5.6537
123,"0,5327",5.6537
126,"0,9275",5.6537
131,"2,633",5.6537
134,"0,7829",5.6537
141,"0,1623",5.6537
144,"0,1808",5.6537
145,"0,5368",5.6537
148,"0,2471",5.6537
149,"0,4664",5.6537
154,"0,3055",5.6537
155,"0,3261",5.6537
156,"0,4301",5.6537
158,"1,6039",5.6537
169,"0,241",5.6537
172,"0,4479",5.6537
176,"1,0201",5.6537
178,"1,0846",5.6537
183,"0,9375",5.6537
188,"0,7177",5.6537
190,"0,3717",5.6537
191,"0,399",5.6537
196,"1,695",5.6537
197,"1,1054",5.6537
198,"0,6252",5.6537
204,"0,1405",5.6537
204,"0,1405",5.6537
205,"0,6226",5.6537
206,"0,6143",5.6537
207,"0,5036",5.6537
209,"0,6106",5.6537
211,"0,3457",5.6537
215,"1,3896",5.6537
216,"1,6244",5.6537
217,"0,9187",5.6537
220,"0,5555",5.6537
222,"0,593",5.6537
228,"0,2039",5.6537
229,"0,494",5.6537
229,"0,494",5.6537
230,"0,2179",5.6537
241,"0,3657",5.6537
247,"0,2452",5.6537
248,"0,3347",5.6537
249,"0,0944",5.6537
251,"0,6429",5.6537
252,"1,2441",5.6537
253,"0,2117",5.6537
254,"0,9235",5.6537
255,"1,4926",5.6537
257,"0,2414",5.6537
259,"0,7642",5.6537
261,"0,248",5.6537
262,"1,0242",5.6537
263,"0,4242",5.6537
269,"0,2048",5.6537
270,"1,0315",5.6537
271,"0,2004",5.6537
271,"0,2004",5.6537
273,"0,3248",5.6537
275,"0,5482",5.6537
277,"0,1641",5.6537
278,"0,5145",5.6537
279,"0,2505",5.6537
280,"0,1794",5.6537
281,"2,2355",5.6537
283,"0,4584",5.6537
284,"0,3061",5.6537
285,"0,1529",5.6537
286,"1,0522",5.6537
287,"0,144",5.6537
288,0,5.6537
290,"0,2339",5.6537
291,"0,8689",5.6537
292,"0,8032",5.6537
294,"0,4492",5.6537
295,"0,9182",5.6537
296,"1,4108",5.6537
297,"0,1611",5.6537
297,"0,1611",5.6537
299,"0,2588",5.6537
302,"0,1163",5.6537
303,"2,5295",5.6537
306,"0,314",5.6537
318,"5,6537",5.6537
